citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
Brock.,"Brockenbrough's Marshall's Decisions, United States Circuit Court",,federal,Brock.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Brock. Rep.,,
Brown Adm.,Brown's Admiralty (U.S.),,specialty,Brown Adm.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Brown Adm, Brown's Adm, Brown's Adm., Brown, Adm.",,
Brunn. Coll. Cas.,Brunner's Collected Cases (US),,federal,Brunn. Coll. Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Brun. Col. Cas., Brunner, Col. Cas.",,
Buchanan,Buchanan's Reports,,state,Buchanan,,,,,,1907-01-01T00:00:00,,,,,,1916-12-31T00:00:00,,,,,,us:nj;supreme.court,"Buch., Buchan., Buchanan.",,Estimated date range.
Bur.,"Wisconsin Reports, Burnett",,state,Bur.,,,,,,1841-01-01T00:00:00,,,,,,1843-12-31T00:00:00,,,,,,us:wi;supreme.court,"Bur. Rep., Burnett, Burnett (Wis.)",,
Bus. Franchise Guide (CCH),Business Franchise Guide,,specialty,Bus. Franchise Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Busb.,"North Carolina Reports, Busbee's Law",,state,Busb.,,,,,,1852-01-01T00:00:00,,,,,,1853-12-31T00:00:00,,,,,,us:nc;supreme.court,"Busb.L., N.C.(Busb.)",,
Busb. Eq.,"North Carolina Reports, Busbee's Equity",,state,Busb. Eq.,,,,,,1852-01-01T00:00:00,,,,,,1853-12-31T00:00:00,,,,,,us:nc;supreme.court,"Busbee Eq.(N.C.), N.C.(Busb.Eq.)",,
Bush,"Kentucky Reports, Bush",,state,Bush,,,,,,1866-01-01T00:00:00,,,,,,1879-12-31T00:00:00,,,,,,us:ky;supreme.court,"Bush (Ky.), Ky.(Bush)",,
C.B.,Cumulative Bulletin,,specialty,C.B.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
C.C.A.,United States Circuit Courts of Appeals Reports,,federal,C.C.A.,,,,,,1750-01-01T00:00:00,,,,,,1920-12-31T00:00:00,,,,,,,"C. C. A., C. C. A. Rep.",https://www.worldcat.org/title/united-states-circuit-courts-of-appeals-reports/oclc/173986701,
C.C.L.J.,Centre County Legal Journal (Pa.),,state,C.C.L.J.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:pa;supreme.court,Centre Co.L.J.,,
